no,facility,type,jigyosyo_cd,service_cd,vacancy,capacity,waiting_count,vacancy_date,public_value,checked_at_jst,feature_http_status,detail_http_status,status,error,feature_url,detail_url
376,桜の里,特別養護老人ホーム,1372908176-00,510,10,108,8,2026-09-01,10/108人,2026-09-21T04:20:56+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372908176-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372908176-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
377,至誠キートスホーム,特別養護老人ホーム,1373000601-00,510,1,70,113,2026-09-15,1/70人,2026-09-21T04:20:59+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000601-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000601-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
378,フェローホームズ,特別養護老人ホーム,1373000254-00,510,0,100,77,2026-09-01,0/100人,2026-09-21T04:21:01+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000254-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000254-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
379,至誠特別養護老人ホーム,特別養護老人ホーム,1373000221-00,510,7,86,114,2026-09-03,7/86人,2026-09-21T04:21:03+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000221-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000221-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
380,敬愛ホーム,特別養護老人ホーム,1373000262-00,510,0,30,30,2026-08-18,0/30人,2026-09-21T04:21:05+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000262-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000262-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
381,砂川園,特別養護老人ホーム,1373000239-00,510,10,160,154,2022-12-13,10/160人,2026-09-21T04:21:07+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000239-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000239-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
382,西砂ホーム,特別養護老人ホーム,1373000247-00,510,5,102,28,2025-07-18,5/102人,2026-09-21T04:21:10+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000247-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373000247-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
383,ほゝえみ,特別養護老人ホーム,1393000086-00,540,0,29,,2025-09-24,0/29人,2026-09-21T04:21:12+09:00,200,200,ok_partial_public_value,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1393000086-00&ServiceCd=540&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1393000086-00&ServiceCd=540&action_kouhyou_detail_024_kihon=true
384,高松の家,特別養護老人ホーム,1393000128-00,540,0,28,,2026-09-01,0/28人,2026-09-21T04:21:14+09:00,200,200,ok_partial_public_value,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1393000128-00&ServiceCd=540&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1393000128-00&ServiceCd=540&action_kouhyou_detail_024_kihon=true
385,至誠ホームアウリンコ,特別養護老人ホーム,1373003019-00,510,1,129,119,2026-09-15,1/129人,2026-09-21T04:21:16+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373003019-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373003019-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
